nume_actiune,timestamp
Show All Students,2025-06-02 01:09:51
Show All Rooms,2025-06-02 01:10:08
View Timetable by Room,2025-06-02 01:10:24
Show All Students,2025-06-03 00:06:06
Load Courses from Curriculum,2025-06-03 00:06:52
Show All Courses,2025-06-03 00:07:04
Load Courses from Curriculum,2025-06-03 00:07:18
Load Courses Info,2025-06-03 00:31:33
List All Timetable Entries,2025-06-03 00:32:41
Show All Courses,2025-06-03 00:32:51
Export Group Schedule JSON,2025-06-03 00:34:10
Show All Students,2025-06-03 01:15:28
View Timetable by Group,2025-06-03 01:15:53
Export Group Schedule JSON,2025-06-03 01:16:46
View Timetable by Teacher,2025-06-03 01:17:42
List All Timetable Entries,2025-06-03 01:17:54
Export Group Schedule JSON,2025-06-03 01:24:33
View Timetable by Group,2025-06-03 01:27:40
View Timetable by Teacher,2025-06-03 01:27:57
List All Timetable Entries,2025-06-03 01:28:18
View Timetable by Room,2025-06-03 01:28:27
Export Group Schedule JSON,2025-06-03 01:50:06
Export Group Schedule JSON,2025-06-03 01:50:59
Show All Students,2025-06-03 02:07:34
Show Students by Group,2025-06-03 02:07:48
Show All Teachers,2025-06-03 02:08:14
Show All Teachers,2025-06-03 02:08:21
Show All Courses,2025-06-03 02:10:11
Export Teacher Schedule JSON,2025-06-03 02:11:19
Export Room Schedule JSON,2025-06-03 02:13:09
List All Timetable Entries,2025-06-03 02:20:06
List All Rooms,2025-06-03 02:29:42
Add Room,2025-06-03 02:30:02
List All Rooms,2025-06-03 02:30:11
List All Teachers,2025-06-03 02:30:42
List All Teachers,2025-06-03 02:53:08
Add Teacher,2025-06-03 02:54:51
List All Teachers,2025-06-03 02:54:59
List All Teachers,2025-06-03 02:55:58
Add Teacher,2025-06-03 03:01:19
List All Teachers,2025-06-03 03:01:26
Add Student,2025-06-03 03:05:09
Generate Automatic Schedule,2025-06-03 03:17:27
Export Group Schedule JSON,2025-06-03 03:26:11
Generate Automatic Schedule,2025-06-03 03:32:48
Export Group Schedule JSON,2025-06-03 03:33:59
Generate Automatic Schedule,2025-06-03 03:45:53
Generate Automatic Schedule,2025-06-03 03:46:14
Export Group Schedule JSON,2025-06-03 03:46:29
Export Teacher Schedule JSON,2025-06-03 03:47:21
List All Timetable Entries,2025-06-03 03:49:20
List All Timetable Entries,2025-06-03 03:50:20
